cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2020,Senate,_lite,9/20/20,.692725,.307275,51.5,48.5,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.07827,7.848455,-3.747885,40000,10:57:05 20 Sep 2020
2020,Senate,_lite,9/19/20,.6874,.3126,51.37608,48.62392,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,1.769886,7.504631,-3.957664,40000,20:08:47 19 Sep 2020
2020,Senate,_lite,9/18/20,.68215,.31785,51.3572,48.6428,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,1.76429,7.544369,-4.015705,40000,21:19:43 18 Sep 2020
2020,Senate,_lite,9/17/20,.6874,.3126,51.38745,48.61253,51,49,56,53,47,44,7.91e+07,8.67e+07,7.17e+07,1.825302,7.600872,-3.955135,40000,20:53:56 17 Sep 2020
2020,Senate,_lite,9/16/20,.686125,.313875,51.38432,48.61568,51,49,56,53,47,44,7.91e+07,8.66e+07,7.16e+07,1.847885,7.59115,-3.96405,40000,15:05:00 16 Sep 2020
2020,Senate,_lite,9/15/20,.6753,.3247,51.34755,48.65245,51,49,56,53,47,44,7.91e+07,8.68e+07,7.17e+07,2.054226,7.840599,-3.758247,40000,13:33:07 15 Sep 2020
2020,Senate,_lite,9/14/20,.673275,.326725,51.34647,48.6535,51,49,56,53,47,44,7.91e+07,8.68e+07,7.16e+07,2.083996,7.877544,-3.785337,40000,15:25:49 15 Sep 2020
2020,Senate,_lite,9/13/20,.67125,.32875,51.3329,48.6671,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.093887,7.893435,-3.815165,40000,15:26:16 15 Sep 2020
2020,Senate,_lite,9/12/20,.6759,.3241,51.3654,48.6346,51,49,56,53,47,44,7.91e+07,8.66e+07,7.16e+07,2.132294,7.99271,-3.757982,40000,15:26:08 15 Sep 2020
2020,Senate,_lite,9/11/20,.658525,.341475,51.22972,48.77028,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.034397,7.8633,-3.892139,40000,15:26:18 15 Sep 2020
